"hours"|"e.NH3.rel"|"e.NH3"|"j.NH3"
"1"|1|0.47|92|92
"2"|2|0.93|183|91
"3"|3|1.4|274|91
"4"|4|1.8|365|91
"5"|5|2.3|455|90
